Мiсячне сяйво,R,111 min,Drama,0,0,,,0,0
У центрi уваги,R,128 min,"Crime, Drama, History",0,0,,,0,0
Бердмен,R,119 min,"Comedy, Drama",0,0,,,0,0
12 рокiв рабства,R,134 min,"Biography, Drama, History",0,0,,,0,0
Арго,R,120 min,"Biography, Drama, History",0,0,,,0,0
Артист,PG-13,100 min,"Comedy, Drama, Romance",0,0,,,0,0
Король говорить,R,118 min,"Biography, Drama",0,0,,,0,0
The Hurt Locker,R,131 min,"Drama, History, Thriller",0,0,,,0,0
Мiльйонер iз нетрiв,R,120 min,Drama,0,0,,,0,0
Старим тут не мiсце,R,122 min,"Crime, Drama, Thriller",0,0,,,0,0
Вiдступники,R,151 min,"Crime, Drama, Thriller",0,0,,,0,0
Крихiтка на мiльйон доларiв,PG-13,132 min,"Drama, Sport",0,0,,,0,0
Crash,R,112 min,"Crime, Drama, Thriller",0,0,,,0,0
Володар перснiв: Повернення короля,PG-13,201 min,"Adventure, Drama, Fantasy",0,0,,,0,0
Chicago,PG-13,113 min,"Comedy, Crime, Musical",0,0,,,0,0
Iгри розуму,PG-13,135 min,"Biography, Drama",0,0,,,0,0
Гладiатор,R,155 min,"Action, Adventure, Drama",0,0,,,0,0
Краса по-американськи,R,122 min,"Drama, Romance",0,0,,,0,0
Shakespeare in Love,R,123 min,"Comedy, Drama, History",0,0,,,0,0
Титанiк,PG-13,194 min,"Drama, Romance",0,0,,,0,0
The English Patient,R,162 min,"Drama, Romance, War",0,0,,,0,0
Хоробре серце,R,178 min,"Biography, Drama, History",0,0,,,0,0
Форрест Гамп,PG-13,142 min,"Comedy, Drama, Romance",0,0,,,0,0
Список Шиндлера,R,195 min,"Biography, Drama, History",0,0,,,0,0
Непрощенний,R,131 min,"Drama, Western",0,0,,,0,0
Мовчання ягнят,,118 min,"Crime, Drama, Thriller",0,0,,,0,0
Dances with Wolves,,181 min,"Adventure, Drama, Western",0,0,,,0,0
Driving Miss Daisy,,99 min,Drama,0,0,,,0,0
Людина дощу,,133 min,Drama,0,0,,,0,0
The Last Emperor,,163 min,"Biography, Drama, History",0,0,,,0,0
Взвод,,120 min,"Drama, War",0,0,,,0,0
Out of Africa,,161 min,"Biography, Drama, Romance",0,0,,,0,0
Амадей,R,160 min,"Biography, Drama, History",0,0,,,0,0
Мова нiжностi,,132 min,"Comedy, Drama",0,0,,,0,0
Гандi,,191 min,"Biography, Drama, History",0,0,,,0,0
Chariots of Fire,,125 min,"Biography, Drama, Sport",0,0,,,0,0
Ordinary People,,124 min,Drama,0,0,,,0,0
Kramer vs. Kramer,PG,105 min,Drama,0,0,,,0,0
Мисливець на оленiв,,183 min,"Drama, War",0,0,,,0,0
Еннi Голл,,93 min,"Comedy, Romance",0,0,,,0,0
Роккi,,120 min,"Drama, Sport",0,0,,,0,0
Пролiтаючи над гнiздом зозулi,,133 min,Drama,0,0,,,0,0
Хрещений батько - 2,,202 min,"Crime, Drama",0,0,,,0,0
Аферисти,,129 min,"Comedy, Crime, Drama",0,0,,,0,0
Хрещений батько,,175 min,"Crime, Drama",0,0,,,0,0
The French Connection,,104 min,"Action, Crime, Drama",0,0,,,0,0
Patton,,172 min,"Biography, Drama, War",0,0,,,0,0
Midnight Cowboy,,113 min,Drama,0,0,,,0,0
Oliver!,,153 min,"Drama, Family, Musical",0,0,,,0,0
In the Heat of the Night,,109 min,"Crime, Drama, Mystery",0,0,,,0,0
