Мiсячне сяйво,R,111 min,Drama,7.5,99,Barry Jenkins,"Mahershala Ali, Shariff Earp, Duan Sanderson, ",0,0
У центрi уваги,R,128 min,"Crime, Drama, History",8.1,93,Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams, ",0,0
Бердмен,R,119 min,"Comedy, Drama",7.8,88,Alejandro González Iñárritu,"Michael Keaton, Zach Galifianakis, Edward Norton, ",0,0
12 рокiв рабства,R,134 min,"Biography, Drama, History",8.1,96,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, ",0,0
Арго,R,120 min,"Biography, Drama, History",7.7,86,Ben Affleck,"Ben Affleck, Bryan Cranston, John Goodman, ",0,0
Артист,PG-13,100 min,"Comedy, Drama, Romance",7.9,89,Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo, John Goodman, ",0,0
Король говорить,R,118 min,"Biography, Drama",8.0,88,Tom Hooper,"Colin Firth, Geoffrey Rush, Helena Bonham Carter, ",0,0
The Hurt Locker,R,131 min,"Drama, History, Thriller",7.6,94,Kathryn Bigelow,"Jeremy Renner, Anthony Mackie, Brian Geraghty, ",0,0
Мiльйонер iз нетрiв,R,120 min,Drama,8.0,86,Danny Boyle,"Loveleen Tandan, Dev Patel, Freida Pinto, Saurabh Shukla, ",0,0
Старим тут не мiсце,R,122 min,"Crime, Drama, Thriller",8.1,91,Ethan Coen,"Joel Coen, Tommy Lee Jones, Javier Bardem, Josh Brolin, ",0,0
Вiдступники,R,151 min,"Crime, Drama, Thriller",8.5,85,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, ",0,0
Крихiтка на мiльйон доларiв,PG-13,132 min,"Drama, Sport",8.1,86,Clint Eastwood,"Hilary Swank, Clint Eastwood, Morgan Freeman, ",0,0
Crash,R,112 min,"Crime, Drama, Thriller",7.8,69,Paul Haggis,"Don Cheadle, Sandra Bullock, Thandie Newton, ",0,0
Володар перснiв: Повернення короля,PG-13,201 min,"Adventure, Drama, Fantasy",8.9,94,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, ",0,0
Chicago,PG-13,113 min,"Comedy, Crime, Musical",7.2,82,Rob Marshall,"Renée Zellweger, Catherine Zeta-Jones, Richard Gere, ",0,0
Iгри розуму,PG-13,135 min,"Biography, Drama",8.2,72,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly, ",0,0
Гладiатор,R,155 min,"Action, Adventure, Drama",8.5,67,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, ",0,0
Краса по-американськи,R,122 min,"Drama, Romance",8.4,86,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch, ",0,0
Shakespeare in Love,R,123 min,"Comedy, Drama, History",7.2,87,John Madden,"Gwyneth Paltrow, Joseph Fiennes, Geoffrey Rush, ",0,0
Титанiк,PG-13,194 min,"Drama, Romance",7.7,74,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, ",0,0
The English Patient,R,162 min,"Drama, Romance, War",7.4,87,Anthony Minghella,"Ralph Fiennes, Juliette Binoche, Willem Dafoe, ",0,0
Хоробре серце,R,178 min,"Biography, Drama, History",8.4,68,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, ",0,0
